genus,family
Allophryne,Allophrynidae
Alsodes,Alsodidae
Eupsophus,Alsodidae
Limnomedusa,Alsodidae
Alytes,Alytidae
Discoglossus,Alytidae
Latonia,Alytidae
Ambystoma,Ambystomatidae
Dicamptodon,Ambystomatidae
Amphiuma,Amphiumidae
Allobates,Aromobatidae
Anomaloglossus,Aromobatidae
Aromobates,Aromobatidae
Mannophryne,Aromobatidae
Prostherapis,Aromobatidae
Rheobates,Aromobatidae
Arthroleptis,Arthroleptidae
Astylosternus,Arthroleptidae
Cardioglossa,Arthroleptidae
Leptodactylodon,Arthroleptidae
Leptopelis,Arthroleptidae
Nyctibates,Arthroleptidae
Scotobleps,Arthroleptidae
Trichobatrachus,Arthroleptidae
Ascaphus,Ascaphidae
Atelognathus,Batrachylidae
Batrachyla,Batrachylidae
Chaltenobatrachus,Batrachylidae
Hylorina,Batrachylidae
Barbourula,Bombinatoridae
Bombina,Bombinatoridae
Brachycephalus,Brachycephalidae
Ischnocnema,Brachycephalidae
Balebreviceps,Brevicipitidae
Breviceps,Brevicipitidae
Callulina,Brevicipitidae
Probreviceps,Brevicipitidae
Spelaeophryne,Brevicipitidae
Adenomus,Bufonidae
Altiphrynoides,Bufonidae
Amazophrynella,Bufonidae
Anaxyrus,Bufonidae
Ansonia,Bufonidae
Atelopus,Bufonidae
Barbarophryne,Bufonidae
Blythophryne,Bufonidae
Bufo,Bufonidae
Bufoides,Bufonidae
Bufotes,Bufonidae
Capensibufo,Bufonidae
Churamiti,Bufonidae
Dendrophryniscus,Bufonidae
Didynamipus,Bufonidae
Duttaphrynus,Bufonidae
Epidalea,Bufonidae
Frostius,Bufonidae
Ghatophryne,Bufonidae
Incilius,Bufonidae
Ingerophrynus,Bufonidae
Laurentophryne,Bufonidae
Leptophryne,Bufonidae
Melanophryniscus,Bufonidae
Mertensophryne,Bufonidae
Metaphryniscus,Bufonidae
Nannophryne,Bufonidae
Nectophryne,Bufonidae
Nectophrynoides,Bufonidae
Nimbaphrynoides,Bufonidae
Oreophrynella,Bufonidae
Osornophryne,Bufonidae
Parapelophryne,Bufonidae
Pedostibes,Bufonidae
Pelophryne,Bufonidae
Peltophryne,Bufonidae
Phrynoidis,Bufonidae
Poyntonophrynus,Bufonidae
Pseudobufo,Bufonidae
Rentapia,Bufonidae
Rhaebo,Bufonidae
Rhinella,Bufonidae
Sabahphrynus,Bufonidae
Schismaderma,Bufonidae
Sclerophrys,Bufonidae
Sigalegalephrynus,Bufonidae
Strauchbufo,Bufonidae
Truebella,Bufonidae
Vandijkophrynus,Bufonidae
Werneria,Bufonidae
Wolterstorffina,Bufonidae
Xanthophryne,Bufonidae
Caecilia,Caeciliidae
Oscaecilia,Caeciliidae
Calyptocephalella,Calyptocephalellidae
Telmatobufo,Calyptocephalellidae
Celsiella,Centrolenidae
Centrolene,Centrolenidae
Chimerella,Centrolenidae
Cochranella,Centrolenidae
Espadarana,Centrolenidae
Hyalinobatrachium,Centrolenidae
Ikakogi,Centrolenidae
Nymphargus,Centrolenidae
Rulyrana,Centrolenidae
Sachatamia,Centrolenidae
Teratohyla,Centrolenidae
Vitreorana,Centrolenidae
Alcalus,Ceratobatrachidae
Cornufer,Ceratobatrachidae
Liurana,Ceratobatrachidae
Platymantis,Ceratobatrachidae
Ceratophrys,Ceratophryidae
Chacophrys,Ceratophryidae
Lepidobatrachus,Ceratophryidae
Chikila,Chikilidae
Conraua,Conrauidae
Barycholos,Craugastoridae
Bryophryne,Craugastoridae
Ceuthomantis,Craugastoridae
Craugastor,Craugastoridae
Dischidodactylus,Craugastoridae
Euparkerella,Craugastoridae
Haddadus,Craugastoridae
Holoaden,Craugastoridae
Lynchius,Craugastoridae
Microkayla,Craugastoridae
Niceforonia,Craugastoridae
Noblella,Craugastoridae
Oreobates,Craugastoridae
Phrynopus,Craugastoridae
Pristimantis,Craugastoridae
Psychrophrynella,Craugastoridae
Strabomantis,Craugastoridae
Tachiramantis,Craugastoridae
Yunganastes,Craugastoridae
Andrias,Cryptobranchidae
Cryptobranchus,Cryptobranchidae
Cycloramphus,Cycloramphidae
Thoropa,Cycloramphidae
Zachaenus,Cycloramphidae
Adelphobates,Dendrobatidae
Ameerega,Dendrobatidae
Andinobates,Dendrobatidae
Colostethus,Dendrobatidae
Dendrobates,Dendrobatidae
Ectopoglossus,Dendrobatidae
Epipedobates,Dendrobatidae
Excidobates,Dendrobatidae
Hyloxalus,Dendrobatidae
Leucostethus,Dendrobatidae
Minyobates,Dendrobatidae
Oophaga,Dendrobatidae
Paruwrobates,Dendrobatidae
Phyllobates,Dendrobatidae
Ranitomeya,Dendrobatidae
Silverstoneia,Dendrobatidae
Dermophis,Dermophiidae
Geotrypetes,Dermophiidae
Gymnopis,Dermophiidae
Schistometopum,Dermophiidae
Allopaa,Dicroglossidae
Chrysopaa,Dicroglossidae
Euphlyctis,Dicroglossidae
Fejervarya,Dicroglossidae
Hoplobatrachus,Dicroglossidae
Ingerana,Dicroglossidae
Limnonectes,Dicroglossidae
Minervarya,Dicroglossidae
Nannophrys,Dicroglossidae
Nanorana,Dicroglossidae
Occidozyga,Dicroglossidae
Ombrana,Dicroglossidae
Quasipaa,Dicroglossidae
Sphaerotheca,Dicroglossidae
Adelophryne,Eleutherodactylidae
Diasporus,Eleutherodactylidae
Eleutherodactylus,Eleutherodactylidae
Phyzelaphryne,Eleutherodactylidae
Hadromophryne,Heleophrynidae
Heleophryne,Heleophrynidae
Cryptobatrachus,Hemiphractidae
Flectonotus,Hemiphractidae
Fritziana,Hemiphractidae
Gastrotheca,Hemiphractidae
Hemiphractus,Hemiphractidae
Stefania,Hemiphractidae
Hemisus,Hemisotidae
Boulengerula,Herpelidae
Herpele,Herpelidae
Acris,Hylidae
Aparasphenodon,Hylidae
Aplastodiscus,Hylidae
Argenteohyla,Hylidae
Atlantihyla,Hylidae
Boana,Hylidae
Bokermannohyla,Hylidae
Bromeliohyla,Hylidae
Charadrahyla,Hylidae
Corythomantis,Hylidae
Dendropsophus,Hylidae
Dryaderces,Hylidae
Dryophytes,Hylidae
Duellmanohyla,Hylidae
Ecnomiohyla,Hylidae
Exerodonta,Hylidae
Hyla,Hylidae
Hyloscirtus,Hylidae
Hypsiboas,Hylidae
Isthmohyla,Hylidae
Itapotihyla,Hylidae
Julianus,Hylidae
Lysapsus,Hylidae
Megastomatohyla,Hylidae
Myersiohyla,Hylidae
Nesorohyla,Hylidae
Nyctimantis,Hylidae
Ololygon,Hylidae
Osteocephalus,Hylidae
Osteopilus,Hylidae
Phyllodytes,Hylidae
Phytotriades,Hylidae
Plectrohyla,Hylidae
Pseudacris,Hylidae
Pseudis,Hylidae
Ptychohyla,Hylidae
Quilticohyla,Hylidae
Rheohyla,Hylidae
Sarcohyla,Hylidae
Scarthyla,Hylidae
Scinax,Hylidae
Smilisca,Hylidae
Sphaenorhynchus,Hylidae
Tepuihyla,Hylidae
Tlalocohyla,Hylidae
Trachycephalus,Hylidae
Triprion,Hylidae
Xenohyla,Hylidae
Crossodactylus,Hylodidae
Hylodes,Hylodidae
Megaelosia,Hylodidae
Afghanodon,Hynobiidae
Batrachuperus,Hynobiidae
Hynobius,Hynobiidae
Liua,Hynobiidae
Onychodactylus,Hynobiidae
Pachyhynobius,Hynobiidae
Paradactylodon,Hynobiidae
Pseudohynobius,Hynobiidae
Ranodon,Hynobiidae
Salamandrella,Hynobiidae
Acanthixalus,Hyperoliidae
Afrixalus,Hyperoliidae
Alexteroon,Hyperoliidae
Arlequinus,Hyperoliidae
Callixalus,Hyperoliidae
Chrysobatrachus,Hyperoliidae
Cryptothylax,Hyperoliidae
Heterixalus,Hyperoliidae
Hyperolius,Hyperoliidae
Kassina,Hyperoliidae
Kassinula,Hyperoliidae
Morerella,Hyperoliidae
Opisthothylax,Hyperoliidae
Paracassina,Hyperoliidae
Phlyctimantis,Hyperoliidae
Semnodactylus,Hyperoliidae
Tachycnemis,Hyperoliidae
Ichthyophis,Ichthyophiidae
Uraeotyphlus,Ichthyophiidae
Gegeneophis,Indotyphlidae
Grandisonia,Indotyphlidae
Hypogeophis,Indotyphlidae
Idiocranium,Indotyphlidae
Indotyphlus,Indotyphlidae
Praslinia,Indotyphlidae
Sylvacaecilia,Indotyphlidae
Leiopelma,Leiopelmatidae
Adenomera,Leptodactylidae
Crossodactylodes,Leptodactylidae
Edalorhina,Leptodactylidae
Engystomops,Leptodactylidae
Hydrolaetare,Leptodactylidae
Leptodactylus,Leptodactylidae
Lithodytes,Leptodactylidae
Paratelmatobius,Leptodactylidae
Physalaemus,Leptodactylidae
Pleurodema,Leptodactylidae
Pseudopaludicola,Leptodactylidae
Rupirana,Leptodactylidae
Scythrophrys,Leptodactylidae
Adelotus,Limnodynastidae
Heleioporus,Limnodynastidae
Lechriodus,Limnodynastidae
Limnodynastes,Limnodynastidae
Neobatrachus,Limnodynastidae
Notaden,Limnodynastidae
Philoria,Limnodynastidae
Platyplectrum,Limnodynastidae
Aglyptodactylus,Mantellidae
Blommersia,Mantellidae
Boehmantis,Mantellidae
Boophis,Mantellidae
Gephyromantis,Mantellidae
Guibemantis,Mantellidae
Laliostoma,Mantellidae
Mantella,Mantellidae
Mantidactylus,Mantellidae
Spinomantis,Mantellidae
Tsingymantis,Mantellidae
Wakea,Mantellidae
Leptobrachella,Megophryidae
Leptobrachium,Megophryidae
Megophrys,Megophryidae
Oreolalax,Megophryidae
Scutiger,Megophryidae
Micrixalus,Micrixalidae
Adelastes,Microhylidae
Anilany,Microhylidae
Anodonthyla,Microhylidae
Aphantophryne,Microhylidae
Arcovomer,Microhylidae
Asterophrys,Microhylidae
Austrochaperina,Microhylidae
Barygenys,Microhylidae
Callulops,Microhylidae
Chaperina,Microhylidae
Chiasmocleis,Microhylidae
Choerophryne,Microhylidae
Cophixalus,Microhylidae
Cophyla,Microhylidae
Copiula,Microhylidae
Ctenophryne,Microhylidae
Dasypops,Microhylidae
Dermatonotus,Microhylidae
Dyscophus,Microhylidae
Elachistocleis,Microhylidae
Gastrophryne,Microhylidae
Gastrophrynoides,Microhylidae
Glyphoglossus,Microhylidae
Hamptophryne,Microhylidae
Hoplophryne,Microhylidae
Hylophorbus,Microhylidae
Hypopachus,Microhylidae
Kalophrynus,Microhylidae
Kaloula,Microhylidae
Madecassophryne,Microhylidae
Mantophryne,Microhylidae
Melanobatrachus,Microhylidae
Metaphrynella,Microhylidae
Microhyla,Microhylidae
Micryletta,Microhylidae
Mini,Microhylidae
Myersiella,Microhylidae
Mysticellus,Microhylidae
Oninia,Microhylidae
Oreophryne,Microhylidae
Otophryne,Microhylidae
Paedophryne,Microhylidae
Paradoxophyla,Microhylidae
Parhoplophryne,Microhylidae
Phrynella,Microhylidae
Phrynomantis,Microhylidae
Plethodontohyla,Microhylidae
Rhombophryne,Microhylidae
Scaphiophryne,Microhylidae
Siamophryne,Microhylidae
Sphenophryne,Microhylidae
Stereocyclops,Microhylidae
Stumpffia,Microhylidae
Synapturanus,Microhylidae
Uperodon,Microhylidae
Vietnamophryne,Microhylidae
Xenorhina,Microhylidae
Arenophryne,Myobatrachidae
Assa,Myobatrachidae
Crinia,Myobatrachidae
Geocrinia,Myobatrachidae
Metacrinia,Myobatrachidae
Mixophyes,Myobatrachidae
Myobatrachus,Myobatrachidae
Paracrinia,Myobatrachidae
Pseudophryne,Myobatrachidae
Rheobatrachus,Myobatrachidae
Spicospina,Myobatrachidae
Taudactylus,Myobatrachidae
Uperoleia,Myobatrachidae
Nasikabatrachus,Nasikabatrachidae
Astrobatrachus,Nyctibatrachidae
Lankanectes,Nyctibatrachidae
Nyctibatrachus,Nyctibatrachidae
Odontobatrachus,Odontobatrachidae
Macrogenioglottus,Odontophrynidae
Odontophrynus,Odontophrynidae
Proceratophrys,Odontophrynidae
Pelobates,Pelobatidae
Litoria,Pelodryadidae
Nyctimystes,Pelodryadidae
Ranoidea,Pelodryadidae
Pelodytes,Pelodytidae
Arthroleptides,Petropedetidae
Ericabatrachus,Petropedetidae
Petropedetes,Petropedetidae
Phrynobatrachus,Phrynobatrachidae
Agalychnis,Phyllomedusidae
Callimedusa,Phyllomedusidae
Cruziohyla,Phyllomedusidae
Hylomantis,Phyllomedusidae
Phasmahyla,Phyllomedusidae
Phrynomedusa,Phyllomedusidae
Phyllomedusa,Phyllomedusidae
Pithecopus,Phyllomedusidae
Hymenochirus,Pipidae
Pipa,Pipidae
Pseudhymenochirus,Pipidae
Xenopus,Pipidae
Aneides,Plethodontidae
Aquiloeurycea,Plethodontidae
Batrachoseps,Plethodontidae
Bolitoglossa,Plethodontidae
Bradytriton,Plethodontidae
Chiropterotriton,Plethodontidae
Cryptotriton,Plethodontidae
Dendrotriton,Plethodontidae
Desmognathus,Plethodontidae
Ensatina,Plethodontidae
Eurycea,Plethodontidae
Gyrinophilus,Plethodontidae
Hemidactylium,Plethodontidae
Hydromantes,Plethodontidae
Isthmura,Plethodontidae
Ixalotriton,Plethodontidae
Karsenia,Plethodontidae
Nototriton,Plethodontidae
Nyctanolis,Plethodontidae
Oedipina,Plethodontidae
Parvimolge,Plethodontidae
Phaeognathus,Plethodontidae
Plethodon,Plethodontidae
Pseudoeurycea,Plethodontidae
Pseudotriton,Plethodontidae
Speleomantes,Plethodontidae
Stereochilus,Plethodontidae
Thorius,Plethodontidae
Urspelerpes,Plethodontidae
Necturus,Proteidae
Proteus,Proteidae
Hildebrandtia,Ptychadenidae
Lanzarana,Ptychadenidae
Ptychadena,Ptychadenidae
Amietia,Pyxicephalidae
Anhydrophryne,Pyxicephalidae
Arthroleptella,Pyxicephalidae
Aubria,Pyxicephalidae
Cacosternum,Pyxicephalidae
Microbatrachella,Pyxicephalidae
Natalobatrachus,Pyxicephalidae
Nothophryne,Pyxicephalidae
Poyntonia,Pyxicephalidae
Pyxicephalus,Pyxicephalidae
Strongylopus,Pyxicephalidae
Tomopterna,Pyxicephalidae
Abavorana,Ranidae
Amnirana,Ranidae
Amolops,Ranidae
Babina,Ranidae
Chalcorana,Ranidae
Clinotarsus,Ranidae
Glandirana,Ranidae
Huia,Ranidae
Humerana,Ranidae
Hydrophylax,Ranidae
Hylarana,Ranidae
Indosylvirana,Ranidae
Lithobates,Ranidae
Meristogenys,Ranidae
Nidirana,Ranidae
Odorrana,Ranidae
Papurana,Ranidae
Pelophylax,Ranidae
Pseudorana,Ranidae
Pterorana,Ranidae
Pulchrana,Ranidae
Rana,Ranidae
Sanguirana,Ranidae
Staurois,Ranidae
Sumaterana,Ranidae
Sylvirana,Ranidae
Indirana,Ranixalidae
Walkerana,Ranixalidae
Beddomixalus,Rhacophoridae
Buergeria,Rhacophoridae
Chiromantis,Rhacophoridae
Feihyla,Rhacophoridae
Ghatixalus,Rhacophoridae
Gracixalus,Rhacophoridae
Kurixalus,Rhacophoridae
Leptomantis,Rhacophoridae
Liuixalus,Rhacophoridae
Mercurana,Rhacophoridae
Nasutixalus,Rhacophoridae
Nyctixalus,Rhacophoridae
Philautus,Rhacophoridae
Polypedates,Rhacophoridae
Pseudophilautus,Rhacophoridae
Raorchestes,Rhacophoridae
Rhacophorus,Rhacophoridae
Taruga,Rhacophoridae
Theloderma,Rhacophoridae
Zhangixalus,Rhacophoridae
Epicrionops,Rhinatrematidae
Rhinatrema,Rhinatrematidae
Insuetophrynus,Rhinodermatidae
Rhinoderma,Rhinodermatidae
Rhinophrynus,Rhinophrynidae
Rhyacotriton,Rhyacotritonidae
Calotriton,Salamandridae
Chioglossa,Salamandridae
Cynops,Salamandridae
Echinotriton,Salamandridae
Euproctus,Salamandridae
Ichthyosaura,Salamandridae
Laotriton,Salamandridae
Lissotriton,Salamandridae
Lyciasalamandra,Salamandridae
Mertensiella,Salamandridae
Neurergus,Salamandridae
Notophthalmus,Salamandridae
Ommatotriton,Salamandridae
Pachytriton,Salamandridae
Paramesotriton,Salamandridae
Pleurodeles,Salamandridae
Salamandra,Salamandridae
Salamandrina,Salamandridae
Taricha,Salamandridae
Triturus,Salamandridae
Tylototriton,Salamandridae
Scaphiopus,Scaphiopodidae
Spea,Scaphiopodidae
Crotaphatrema,Scolecomorphidae
Scolecomorphus,Scolecomorphidae
Brasilotyphlus,Siphonopidae
Luetkenotyphlus,Siphonopidae
Microcaecilia,Siphonopidae
Mimosiphonops,Siphonopidae
Siphonops,Siphonopidae
Pseudobranchus,Sirenidae
Siren,Sirenidae
Sechellophryne,Sooglossidae
Sooglossus,Sooglossidae
Telmatobius,Telmatobiidae
Atretochoana,Typhlonectidae
Chthonerpeton,Typhlonectidae
Nectocaecilia,Typhlonectidae
Potamotyphlus,Typhlonectidae
Typhlonectes,Typhlonectidae
Abrana,Ptychadenidae
Abranchus,Cryptobranchidae
Abroscaphus,Arthroleptidae
Acrodytes,Hylidae
Adelphobtes,Dendrobatidae
Aelurophryne,Megophryidae
Afrana,Pyxicephalidae
Afrocaecilia,Herpelidae
Albericus,Microhylidae
Allomesotriton,Salamandridae
Altigius,Microhylidae
Altirana,Dicroglossidae
Amazonella,Bufonidae
Ambistoma,Ambystomatidae
Amblyphrynus,Craugastoridae
