"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Hominidae","","N1",342.6368,"N1",342.6368,1,1,"Homo_sapiens"
"F","Nasikabatrachidae","","N2587",114.1839,"N2587",114.1839,1,1,"Nasikabatrachus_sahyadrensis"
"F","Odontobatrachidae","","N3083",128.2192,"N3083",128.2192,1,1,"Odontobatrachus_natator"
"F","Rhinophrynidae","","N696",168.0165,"N696",168.0165,1,1,"Rhinophrynus_dorsalis"
"F","Allophrynidae","","N2544",65.984361,"N2584",33.27962,1,3,""
"F","Alsodidae","","N1676",63.314491,"N1709",53.7154605544,3,29,""
"F","Alytidae","","N675",167.788903,"N685",114.17398,3,11,""
"F","Ambystomatidae","","N246",149.254674,"N331",96.52587641,2,36,""
"F","Amphiumidae","","N367",123.161794,"N368",23.25896,1,3,""
"F","Aromobatidae","","N965",89.27755071,"N1046",76.123895661,5,116,""
"F","Arthroleptidae","","N2636",111.912394,"N2703",95.843159997,8,147,""
"F","Ascaphidae","","N669",160.284594,"N670",10.97011,1,2,""
"F","Batrachylidae","","N1577",90.977835,"N1589",82.07551187,5,17,""
"F","Bombinatoridae","","N675",167.788903,"N676",87.10998,2,10,""
"F","Brachycephalidae","","N964",116.904981,"N1078",113.2220079777,3,54,""
"F","Brevicipitidae","","N2594",99.536464,"N2603",69.52703454,5,34,""
"F","Bufonidae","","N2170",82.645785,"N2208",78.384187141,50,588,""
"F","Caeciliidae","","N73",87.629354,"N86",61.515317563,2,42,""
"F","Calyptocephalellidae","","N838",126.695551,"N961",40.75232,2,4,""
"F","Centrolenidae","","N2544",65.984361,"N2545",39.680990001,12,153,""
"F","Ceratobatrachidae","","N3254",101.765087,"N3255",94.169730417,5,87,""
"F","Ceratophryidae","","N1577",90.977835,"N1578",39.02344174,3,12,""
"F","Chikilidae","","N60",112.156004,"N61",77.60583912,1,4,""
"F","Conrauidae","","N3150",110.712701,"N3151",52.519364017,1,6,""
"F","Craugastoridae","","N1079",108.195792,"N1166",103.17399505,21,726,""
"F","Cryptobranchidae","","N181",152.844734,"N239",47.34252,2,3,""
"F","Cycloramphidae","","N1631",73.732631,"N1632",66.868505363,3,37,""
"F","Dendrobatidae","","N965",89.27755071,"N966",78.867156643,13,183,""
"F","Dermophiidae","","N142",83.704464,"N166",78.874750655,4,14,""
"F","Dicroglossidae","","N3149",119.556625,"N3253",114.199949623,13,187,""
"F","Eleutherodactylidae","","N1171",89.696045,"N1208",78.61941549,4,207,""
"F","Heleophrynidae","","N830",176.986034,"N831",54.53368882,2,6,""
"F","Hemiphractidae","","N1079",108.195792,"N1080",75.342139871,6,102,""
"F","Hemisotidae","","N2594",99.536464,"N2595",80.14524341,1,9,""
"F","Herpelidae","","N60",112.156004,"N64",107.02740861,2,9,""
"F","Hylidae","","N1738",90.955589,"N1888",78.322537784,41,679,""
"F","Hylodidae","","N1676",63.314491,"N1677",54.682690412,3,42,""
"F","Hynobiidae","","N181",152.844734,"N182",103.354637587,9,60,""
"F","Hyperoliidae","","N2636",111.912394,"N2637",84.704484565,18,224,""
"F","Ichthyophiidae","","N14",160.148134,"N15",114.587393047,3,54,""
"F","Indotyphlidae","","N121",98.245824,"N122",75.7045403257,7,21,""
"F","Leiopelmatidae","","N669",160.284594,"N671",51.33583,1,4,""
"F","Leptodactylidae","","N2403",85.885471,"N2404",76.760917037,14,201,""
"F","Limnodynastidae","","N839",103.214921,"N840",62.662646394,8,44,""
"F","Mantellidae","","N3609",92.55187,"N3714",76.557865163,12,206,""
"F","Megophryidae","","N740",105.475424,"N741",103.199762856,11,181,""
"F","Micrixalidae","","N3157",96.0573310000001,"N3158",71.70996859,1,11,""
"F","Microhylidae","","N2592",138.898884,"N2804",111.0395,63,538,""
"F","Myobatrachidae","","N839",103.214921,"N883",97.723162908,13,88,""
"F","Nyctibatrachidae","","N3254",101.765087,"N3311",70.16425083,2,28,""
"F","Odontophrynidae","","N2170",82.645785,"N2171",38.56802279,3,48,""
"F","Pelobatidae","","N740",105.475424,"N827",27.94671,1,4,""
"F","Pelodryadidae","","N1739",66.505509,"N1791",55.336334584,3,206,""
"F","Pelodytidae","","N737",132.154424,"N738",41.61487,1,3,""
"F","Petropedetidae","","N3157",96.0573310000001,"N3168",71.579409337,3,12,""
"F","Phrynobatrachidae","","N3084",123.587976,"N3085",120.655110363,1,88,""
"F","Phyllomedusidae","","N1739",66.505509,"N1740",46.2883230228,7,60,""
"F","Pipidae","","N696",168.016505,"N697",158.30501852,4,33,""
"F","Plethodontidae","","N367",123.161794,"N370",88.595062173,27,440,""
"F","Proteidae","","N357",153.684944,"N358",114.544,2,6,""
"F","Ptychadenidae","","N3045",132.131281,"N3046",107.70772486,3,52,""
"F","Pyxicephalidae","","N3156",104.658166,"N3179",80.49664,12,79,""
"F","Ranidae","","N3440",102.504574,"N3441",89.706616321,14,364,""
"F","Ranixalidae","","N3339",98.262479,"N3340",62.435072969,1,10,""
"F","Rhacophoridae","","N3609",92.55187,"N3610",70.299418153,19,368,""
"F","Rhinatrematidae","","N3",180.208424,"N4",135.018362958,2,11,""
"F","Rhinodermatidae","","N1590",70.565663,"N1591",55.53678932,2,3,""
"F","Rhyacotritonidae","","N363",138.514854,"N364",25.016955,1,4,""
"F","Salamandridae","","N246",149.254674,"N247",74.862530007,21,103,""
"F","Scaphiopodidae","","N730",150.411284,"N731",63.49693,2,7,""
"F","Scolecomorphidae","","N53",143.910204,"N54",138.83484885,2,6,""
"F","Siphonopidae","","N142",83.704464,"N143",66.645419046,7,25,""
"F","Sirenidae","","N241",182.752064,"N242",50.83836,2,4,""
"F","Sooglossidae","","N2587",114.183951,"N2588",43.52959,2,4,""
"F","Telmatobiidae","","N1593",55.95269995,"N1595",46.867252914,1,60,""
"F","Typhlonectidae","","N73",87.629354,"N74",79.32007232,5,13,""
"G","Microhylidae","Adelastes","N2818",46.73105098,"N2818",46.73105098,1,1,"Adelastes_hylonomos"
"G","Limnodynastidae","Adelotus","N844",43.77503258,"N844",43.77503258,1,1,"Adelotus_brevis"
"G","Hylidae","Anotheca","N2130",20.80748338,"N2130",20.80748338,1,1,"Anotheca_spinosa"
"G","Microhylidae","Arcovomer","N2820",44.209829,"N2820",44.209829,1,1,"Arcovomer_passarellii"
"G","Hylidae","Argenteohyla","N2055",20.16229324,"N2055",20.16229324,1,1,"Argenteohyla_siemersi"
"G","Hyperoliidae","Arlequinus","N2699",5.17011616,"N2699",5.17011616,1,1,"Arlequinus_krebsi"
